X,Y,Z,R,G,B
-770.279358, 9583.693359, 104.633499, 255.0, 55.0, 0.0
-764.294983, 9564.865234, 105.710403, 255.0, 55.0, 0.0
-755.888733, 9535.677734, 116.713821, 255.0, 55.0, 0.0
-824.365295, 9613.224609, 96.418167, 255.0, 55.0, 0.0
-811.78717, 9613.794922, 86.175735, 255.0, 55.0, 0.0
-801.341858, 9609.630859, 144.359818, 255.0, 55.0, 0.0
-774.341858, 9603.154297, 113.947464, 255.0, 55.0, 0.0
-805.490295, 9603.083984, 100.474319, 255.0, 55.0, 0.0
-841.334045, 9643.443359, 132.925735, 255.0, 55.0, 0.0
-838.669983, 9612.177734, 99.56929, 255.0, 55.0, 0.0
-845.13092, 9605.896484, 101.770706, 255.0, 55.0, 0.0
-838.544983, 9613.310547, 87.583939, 255.0, 55.0, 0.0
-856.841858, 9620.388672, 97.87056, 255.0, 55.0, 0.0
-836.19342, 9621.201172, 115.230911, 255.0, 55.0, 0.0
-860.060608, 9638.013672, 116.88887, 255.0, 55.0, 0.0
-857.84967, 9639.763672, 121.33345, 255.0, 55.0, 0.0
-826.248108, 9647.787109, 132.226028, 255.0, 55.0, 0.0
-916.998108, 9724.248047, 134.150589, 255.0, 55.0, 0.0
-935.22467, 9725.591797, 116.010208, 255.0, 55.0, 0.0
-919.47467, 9725.287109, 130.33223, 255.0, 55.0, 0.0
-878.951233, 9766.701172, 142.358597, 255.0, 55.0, 0.0
-874.326233, 9753.248047, 146.135208, 255.0, 55.0, 0.0
-880.490295, 9772.021484, 123.514114, 255.0, 55.0, 0.0
-933.271545, 9707.029297, 104.596878, 255.0, 55.0, 0.0
-892.154358, 9695.880859, 139.06636, 255.0, 55.0, 0.0
-951.763733, 9720.412109, 107.613724, 255.0, 55.0, 0.0
-951.66217, 9745.185547, 136.557571, 255.0, 55.0, 0.0
-951.388733, 9716.333984, 89.332718, 255.0, 55.0, 0.0
-943.81842, 9735.849609, 121.317825, 255.0, 55.0, 0.0
-959.966858, 9744.341797, 123.295853, 255.0, 55.0, 0.0
-957.685608, 9738.802734, 151.163528, 255.0, 55.0, 0.0
-1578.380981, 10466.435547, 112.757523, 255.0, 55.0, 0.0
-1589.638794, 10450.146484, 78.842972, 255.0, 55.0, 0.0
-1596.255981, 10467.685547, 115.950394, 255.0, 55.0, 0.0
-1560.630981, 10464.966797, 127.592239, 255.0, 55.0, 0.0
-1551.709106, 10450.427734, 153.242874, 255.0, 55.0, 0.0
-1568.037231, 10445.044922, 98.97139, 255.0, 55.0, 0.0
-1578.240356, 10464.263672, 136.268753, 255.0, 55.0, 0.0
-1715.005981, 10470.005859, 123.452591, 255.0, 55.0, 0.0
-1694.013794, 10465.880859, 96.679886, 255.0, 55.0, 0.0
-1660.224731, 10466.935547, 120.830765, 255.0, 55.0, 0.0
-1657.779419, 10475.185547, 78.230423, 255.0, 55.0, 0.0
-1695.662231, 10462.552734, 142.711136, 255.0, 55.0, 0.0
-1695.857544, 10465.763672, 117.351517, 255.0, 55.0, 0.0
-1657.927856, 10466.560547, 100.762161, 255.0, 55.0, 0.0
-1679.834106, 10464.638672, 154.406204, 255.0, 55.0, 0.0
-1636.115356, 10465.787109, 91.298294, 255.0, 55.0, 0.0
-1653.951294, 10457.091797, 150.284134, 255.0, 55.0, 0.0
-1676.201294, 10466.755859, 88.476273, 255.0, 55.0, 0.0
-1642.591919, 10469.505859, 112.385941, 255.0, 55.0, 0.0
-1679.162231, 10469.083984, 105.574661, 255.0, 55.0, 0.0
-1688.185669, 10455.771484, 78.634964, 255.0, 55.0, 0.0
-1712.170044, 10464.396484, 104.885941, 255.0, 55.0, 0.0
-1677.951294, 10465.521484, 132.230179, 255.0, 55.0, 0.0
-1750.724731, 10463.927734, 121.170853, 255.0, 55.0, 0.0
-1788.482544, 10465.310547, 136.842484, 255.0, 55.0, 0.0
-1768.623169, 10464.185547, 129.537308, 255.0, 55.0, 0.0
