X,Y,Z,R,G,B
-1334.734985, 2150.687256, 383.714874, 123, 107, 86
-1310.72876, 2146.772461, 384.717712, 69, 71, 72
-1308.428711, 2146.720947, 376.888519, 72, 74, 75
-1313.714722, 2147.427246, 394.419128, 46, 49, 50
-1314.578735, 2147.963867, 411.481689, 77, 78, 77
-1359.152222, 2150.406006, 390.482605, 113, 99, 72
-1312.662354, 2150.5271, 341.163422, 115, 109, 105
-1305.427124, 2142.115479, 359.507843, 177, 181, 182
-1331.32019, 2148.739746, 381.750519, 101, 87, 68
-1339.902954, 2150.899902, 388.035583, 107, 93, 75
-1318.44751, 2146.609131, 394.73349, 149, 153, 154
-1335.641235, 2153.169434, 355.475189, 134, 119, 96
-1334.655273, 2155.391357, 355.941589, 141, 126, 105
-1315.66394, 2144.826416, 361.121307, 160, 165, 166
-1355.510742, 2148.224854, 377.623749, 116, 102, 76
-1341.015503, 2151.903076, 370.96228, 111, 97, 76
-1332.626343, 2150.421631, 382.847534, 121, 107, 87
-1346.158447, 2152.166992, 401.234497, 97, 81, 60
-1331.234985, 2151.01001, 424.315674, 136, 124, 104
-1334.420166, 2149.905273, 380.453705, 151, 137, 118
-1319.25061, 2150.253662, 354.102081, 145, 149, 149
-1317.644409, 2151.573242, 354.798767, 162, 163, 164
-1319.33728, 2150.368652, 345.328888, 150, 143, 141
-1360.37561, 2161.847412, 348.409454, 144, 130, 116
-1315.898315, 2150.472412, 409.910492, 65, 66, 67
-1368.207642, 2152.192871, 389.824585, 122, 108, 85
-1360.464722, 2153.912354, 364.497772, 93, 79, 58
-1328.881104, 2151.29834, 355.56723, 162, 150, 137
-1363.406128, 2153.251465, 370.8237, 94, 79, 57
-1298.863892, 2142.088135, 358.419281, 175, 180, 181
-1358.65686, 2151.327148, 392.888855, 135, 121, 98
-1328.967773, 2147.39209, 400.052582, 159, 149, 135
-1290.314697, 2144.77417, 353.172546, 198, 202, 207
-1294.015503, 2167.970947, 344.070007, 144, 131, 119
-1325.453735, 2147.231934, 396.275024, 154, 151, 143
-1302.011597, 2144.785889, 346.769958, 212, 209, 212
-1360.679565, 2153.306885, 353.706177, 122, 109, 88
-1302.89978, 2146.821045, 344.68045, 174, 173, 175
-1316.361572, 2144.356934, 364.190125, 164, 169, 171
-1339.633423, 2159.916992, 410.947235, 113, 101, 81
-1298.808472, 2164.017822, 341.411713, 143, 131, 120
-1341.796753, 2153.709961, 355.626495, 117, 102, 77
-1304.148315, 2148.263184, 345.151642, 168, 167, 167
-1303.878784, 2140.321777, 368.563416, 30, 35, 34
-1340.299072, 2151.57959, 405.265228, 97, 81, 60
